gene_id	f2	f3	f6	f8	f10	f11
WBGene00020353	2020.00	1085.00	1168.00	2059.00	1029.00	1306.00
WBGene00020354	25.00	6.00	27.00	35.00	23.00	31.00
WBGene00020356	254.00	155.00	52.00	501.00	139.00	155.00
WBGene00020357	17.00	14.00	13.00	58.00	33.00	25.00
WBGene00020358	134.00	115.00	69.00	234.00	153.00	142.00
WBGene00020359	73.00	56.00	22.00	129.00	82.00	56.00
WBGene00020360	183.50	98.03	48.02	153.54	38.00	39.00
WBGene00020361	21.00	4.00	14.00	11.00	8.00	9.00
WBGene00020362	36.00	19.00	36.00	41.00	67.00	36.00
WBGene00020363	104.00	33.00	9.00	95.00	35.00	25.00
WBGene00020364	9.00	7.00	0.00	3.00	3.00	0.00
WBGene00020365	46.00	22.00	2.00	52.00	57.00	30.00
WBGene00020366	8640.00	5043.00	10775.00	9746.00	7000.00	7447.00
WBGene00020368	448.00	231.00	167.00	380.00	207.00	191.00
WBGene00020369	19084.00	8874.00	15857.00	15610.00	9074.00	11946.00
WBGene00020370	381.00	215.00	189.00	513.00	209.00	205.02
WBGene00020371	0.00	0.00	0.00	0.00	1.00	0.00
WBGene00020372	86.97	56.00	26.00	251.00	52.00	69.00
WBGene00020373	129.00	54.00	41.00	135.00	39.00	37.00
WBGene00020374	2955.00	1904.00	3048.00	3255.00	2597.00	3141.00
WBGene00020375	3307.00	1948.00	911.00	2818.00	2733.00	2316.00
WBGene00020376	669.00	459.00	270.00	1078.00	768.00	704.00
WBGene00020377	103.00	48.00	39.00	179.00	51.00	58.00
WBGene00020378	515.00	248.00	303.00	470.00	258.00	322.00
WBGene00020379	1128.00	607.00	452.00	1117.00	1141.00	642.00
WBGene00020380	115.00	77.00	176.00	237.00	90.00	97.00
WBGene00020381	86.22	39.32	25.19	116.86	10.30	16.62
WBGene00020382	950.00	571.00	364.00	1189.00	814.00	804.00
WBGene00020383	1035.00	583.00	739.00	1204.00	774.00	819.00
WBGene00020384	8.00	2.00	11.00	10.00	1.00	1.00
WBGene00020385	21.00	10.00	5.00	13.00	14.00	0.00
WBGene00020386	832.00	352.00	372.00	941.00	212.00	256.00
WBGene00020388	260.44	182.57	102.82	268.56	75.00	93.34
WBGene00020389	7622.00	4532.00	6855.00	7948.00	5949.00	5360.00
WBGene00020390	427.76	227.32	186.33	410.17	174.90	180.73
